Time	Node	Type	Packets	
46	Node4	CacheMisses	746
46	Node5	CacheHits	0
46	Node5	CacheMisses	0
46	Node6	CacheHits	0
46	Node6	CacheMisses	0
46	Node7	CacheHits	0
46	Node7	CacheMisses	748
46	Node8	CacheHits	0
46	Node8	CacheMisses	763
47	Node0	CacheHits	0
47	Node0	CacheMisses	819
47	Node1	CacheHits	169
47	Node1	CacheMisses	753
47	Node2	CacheHits	0
47	Node2	CacheMisses	0
47	Node3	CacheHits	0
47	Node3	CacheMisses	0
47	Node4	CacheHits	0
47	Node4	CacheMisses	756
47	Node5	CacheHits	0
47	Node5	CacheMisses	0
47	Node6	CacheHits	0
47	Node6	CacheMisses	0
47	Node7	CacheHits	0
47	Node7	CacheMisses	757
47	Node8	CacheHits	0
47	Node8	CacheMisses	760
48	Node0	CacheHits	0
48	Node0	CacheMisses	784
48	Node1	CacheHits	146
48	Node1	CacheMisses	737
48	Node2	CacheHits	0
48	Node2	CacheMisses	0
48	Node3	CacheHits	0
48	Node3	CacheMisses	0
48	Node4	CacheHits	0
48	Node4	CacheMisses	736
48	Node5	CacheHits	0
48	Node5	CacheMisses	0
48	Node6	CacheHits	0
48	Node6	CacheMisses	0
48	Node7	CacheHits	0
48	Node7	CacheMisses	733
48	Node8	CacheHits	0
48	Node8	CacheMisses	747
49	Node0	CacheHits	0
49	Node0	CacheMisses	802
49	Node1	CacheHits	178
49	Node1	CacheMisses	735
49	Node2	CacheHits	0
49	Node2	CacheMisses	0
49	Node3	CacheHits	0
49	Node3	CacheMisses	0
49	Node4	CacheHits	0
49	Node4	CacheMisses	736
49	Node5	CacheHits	0
49	Node5	CacheMisses	0
49	Node6	CacheHits	0
49	Node6	CacheMisses	0
49	Node7	CacheHits	0
49	Node7	CacheMisses	744
49	Node8	CacheHits	0
49	Node8	CacheMisses	757
50	Node0	CacheHits	0
50	Node0	CacheMisses	849
50	Node1	CacheHits	183
50	Node1	CacheMisses	771
50	Node2	CacheHits	0
50	Node2	CacheMisses	0
50	Node3	CacheHits	0
50	Node3	CacheMisses	0
50	Node4	CacheHits	0
50	Node4	CacheMisses	773
50	Node5	CacheHits	0
50	Node5	CacheMisses	0
50	Node6	CacheHits	0
50	Node6	CacheMisses	0
50	Node7	CacheHits	0
50	Node7	CacheMisses	765
50	Node8	CacheHits	0
50	Node8	CacheMisses	777
51	Node0	CacheHits	0
51	Node0	CacheMisses	808
51	Node1	CacheHits	172
51	Node1	CacheMisses	747
51	Node2	CacheHits	0
51	Node2	CacheMisses	0
51	Node3	CacheHits	0
51	Node3	CacheMisses	0
51	Node4	CacheHits	0
51	Node4	CacheMisses	748
51	Node5	CacheHits	0
51	Node5	CacheMisses	0
51	Node6	CacheHits	0
51	Node6	CacheMisses	0
51	Node7	CacheHits	0
51	Node7	CacheMisses	752
51	Node8	CacheHits	0
51	Node8	CacheMisses	761
52	Node0	CacheHits	0
52	Node0	CacheMisses	803
52	Node1	CacheHits	183
52	Node1	CacheMisses	717
52	Node2	CacheHits	0
52	Node2	CacheMisses	0
52	Node3	CacheHits	0
52	Node3	CacheMisses	0
52	Node4	CacheHits	0
52	Node4	CacheMisses	712
52	Node5	CacheHits	0
52	Node5	CacheMisses	0
52	Node6	CacheHits	0
52	Node6	CacheMisses	0
52	Node7	CacheHits	0
52	Node7	CacheMisses	711
52	Node8	CacheHits	0
52	Node8	CacheMisses	722
53	Node0	CacheHits	0
53	Node0	CacheMisses	773
53	Node1	CacheHits	167
53	Node1	CacheMisses	712
53	Node2	CacheHits	0
53	Node2	CacheMisses	0
53	Node3	CacheHits	0
53	Node3	CacheMisses	0
53	Node4	CacheHits	0
53	Node4	CacheMisses	709
53	Node5	CacheHits	0
53	Node5	CacheMisses	0
53	Node6	CacheHits	0
53	Node6	CacheMisses	0
53	Node7	CacheHits	0
53	Node7	CacheMisses	709
53	Node8	CacheHits	0
53	Node8	CacheMisses	716
54	Node0	CacheHits	0
54	Node0	CacheMisses	844
54	Node1	CacheHits	184
54	Node1	CacheMisses	776
54	Node2	CacheHits	0
54	Node2	CacheMisses	0
54	Node3	CacheHits	0
